ingredients,label,score

"Aqua, Glycerin, Panthenol, Allantoin, Sodium Hyaluronate","safe",10
"Aqua, Niacinamide, Betaine, Centella Extract","safe",9
"Aqua, Green Tea Extract, Panthenol, Sodium PCA","safe",9
"Aqua, Tocopherol, Sodium Hyaluronate, Trehalose","safe",10
"Aqua, Madecassoside, Glycerin, Panthenol","safe",9
"Aqua, Bisabolol, Allantoin, Glycerin","safe",8
"Aqua, Panthenol, Aloe Vera Extract, Sodium PCA","safe",9
"Aqua, Betaine, Trehalose, Panthenol","safe",9
"Aqua, Glycerin, Sodium Hyaluronate, Oat Extract","safe",10
"Aqua, Glycerin, Urea, Panthenol","safe",9
"Aqua, Dimethicone, Glycerin, Carbomer","neutral",6
"Aqua, Propanediol, Dimethicone, Fragrance","neutral",5
"Aqua, Caprylic/Capric Triglyceride, Glycerin","neutral",7
"Aqua, Phenoxyethanol, Dimethicone, Carbomer","neutral",6
"Aqua, Butylene Glycol, Dimethicone, 1,2-Hexanediol","neutral",6
"Aqua, PEG-40 Hydrogenated Castor Oil, Glycerin","neutral",5
"Aqua, Isododecane, Dimethicone, Phenoxyethanol","neutral",6
"Aqua, Carbomer, Propylene Glycol, Fragrance","neutral",5
"Aqua, Glycerin, Dimethicone, Ethylhexylglycerin","neutral",6
"Aqua, Triethanolamine, Carbomer, Phenoxyethanol","neutral",7
"Aqua, Lauric Acid, Myristic Acid, Stearic Acid","malassezia_trigger",0
"Aqua, Polysorbate 20, Oleic Acid","malassezia_trigger",2
"Aqua, Isopropyl Myristate, Glyceryl Stearate","malassezia_trigger",1
"Aqua, Sorbitan Oleate, Oleic Acid","malassezia_trigger",1
"Aqua, Cetyl Alcohol, Stearyl Alcohol, Polysorbate 60","malassezia_trigger",2
"Aqua, Myristyl Myristate, Polysorbate 80","malassezia_trigger",1
"Aqua, Oleyl Oleate, Polysorbate 40","malassezia_trigger",2
"Aqua, Sorbitan Stearate, Oleyl Alcohol","malassezia_trigger",1
"Aqua, Stearic Acid, Polysorbate 65","malassezia_trigger",1
"Aqua, Cetearyl Alcohol, Oleic Acid","malassezia_trigger",2
"Aqua, Cetearyl Alcohol, Petrolatum, Mineral Oil","comedogenic",4
"Aqua, Isopropyl Palmitate, Myristyl Lactate","comedogenic",3
"Aqua, Coconut Oil, Stearic Acid","comedogenic",3
"Aqua, Wheat Germ Oil, Cocoa Butter","comedogenic",4
"Aqua, Glyceryl Oleate, Lanolin","comedogenic",4
"Aqua, Almond Oil, Cetyl Alcohol","comedogenic",5
"Aqua, Shea Butter, Cetearyl Alcohol","comedogenic",4
"Aqua, Avocado Oil, Glyceryl Stearate","comedogenic",4
"Aqua, Olive Oil, Myristyl Myristate","comedogenic",3
"Aqua, Castor Oil, Oleyl Alcohol","comedogenic",4
"Aqua, Alcohol Denat, Menthol, Fragrance","irritant",3
"Aqua, Linalool, Limonene, Alcohol","irritant",4
"Aqua, Menthol, Camphor, Alcohol","irritant",2
"Aqua, Eucalyptus Oil, Fragrance","irritant",4
"Aqua, Witch Hazel, Alcohol, Fragrance","irritant",3
"Aqua, Benzyl Alcohol, Limonene","irritant",3
"Aqua, Phenoxyethanol, Linalool","irritant",4
"Aqua, Cinnamon Extract, Alcohol","irritant",3
"Aqua, Tea Tree Oil, Menthol","irritant",4
"Aqua, Peppermint Oil, Alcohol Denat","irritant",3
"Aqua, Fragrance, Limonene, Linalool, Citronellol","fragrance_heavy",5
"Aqua, Parfum, Benzyl Salicylate, Coumarin","fragrance_heavy",6
"Aqua, Fragrance, Hexyl Cinnamal, Geraniol","fragrance_heavy",5
"Aqua, Parfum, Eugenol, Citral","fragrance_heavy",5
"Aqua, Fragrance, Alpha-Isomethyl Ionone","fragrance_heavy",6
"Aqua, Parfum, Hydroxycitronellal","fragrance_heavy",5
"Aqua, Fragrance, Amyl Cinnamal","fragrance_heavy",5
"Aqua, Parfum, Linalool, Coumarin","fragrance_heavy",6
"Aqua, Fragrance, Benzyl Cinnamate","fragrance_heavy",5
"Aqua, Parfum, Citronellol, Limonene","fragrance_heavy",6
"Aqua, Lauric Acid, Linoleic Acid, Oleic Acid","fatty_acid",1
"Aqua, Palmitic Acid, Stearic Acid","fatty_acid",2
"Aqua, Capric Acid, Caprylic Acid","fatty_acid",3
"Aqua, Arachidic Acid, Behenic Acid","fatty_acid",2
"Aqua, Myristic Acid, Palmitoleic Acid","fatty_acid",1
"Aqua, Stearic Acid, Capric Acid","fatty_acid",2
"Aqua, Oleic Acid, Myristic Acid","fatty_acid",1
"Aqua, Linoleic Acid, Lauric Acid","fatty_acid",1
"Aqua, Caprylic Acid, Stearic Acid","fatty_acid",2
"Aqua, Palmitic Acid, Oleic Acid","fatty_acid",2
"Aqua, Petrolatum, Mineral Oil, Paraffin","emollient_heavy",4
"Aqua, Isododecane, Dimethicone, Squalane","emollient_heavy",6
"Aqua, Shea Butter, Caprylic/Capric Triglyceride","emollient_heavy",4
"Aqua, Cocoa Butter, Glycerin","emollient_heavy",3
"Aqua, Mango Seed Butter, Squalane","emollient_heavy",5
"Aqua, Almond Oil, Jojoba Oil","emollient_heavy",4
"Aqua, Olive Oil, Cetearyl Alcohol","emollient_heavy",3
"Aqua, Coconut Oil, Glycerin","emollient_heavy",4
"Aqua, Sunflower Seed Oil, Squalene","emollient_heavy",5
"Aqua, Avocado Oil, Dimethicone","emollient_heavy",4
"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine","surfactant",4
"Aqua, Sodium Lauroyl Sarcosinate, Decyl Glucoside","surfactant",6
"Aqua, Sodium C14-16 Olefin Sulfonate, Coco-Betaine","surfactant",5
"Aqua, Sodium Cocoyl Isethionate, Lauryl Glucoside","surfactant",6
"Aqua, Sodium Myristoyl Glutamate, Sodium Lauroyl Sarcosinate","surfactant",6
"Aqua, Sodium Methyl Cocoyl Taurate, Coco-Glucoside","surfactant",6
"Aqua, Sodium Lauryl Sulfate, Cocamide DEA","surfactant",4
"Aqua, Decyl Glucoside, Lauryl Glucoside","surfactant",7
"Aqua, Sodium Cocoyl Glycinate, Sodium Lauroyl Oat Amino Acids","surfactant",6
"Aqua, Disodium Laureth Sulfosuccinate, Coco-Betaine","surfactant",5
"Aqua, Phenoxyethanol, Ethylhexylglycerin","preservative",7
"Aqua, Sodium Benzoate, Potassium Sorbate","preservative",6
"Aqua, Chlorphenesin, Phenoxyethanol","preservative",7
"Aqua, Benzyl Alcohol, Dehydroacetic Acid","preservative",5
"Aqua, Phenoxyethanol, Caprylyl Glycol","preservative",7
"Aqua, DMDM Hydantoin, Sodium Citrate","preservative",6
"Aqua, Imidazolidinyl Urea, Phenoxyethanol","preservative",7
"Aqua, Diazolidinyl Urea, Potassium Sorbate","preservative",6
"Aqua, Methylparaben, Propylparaben","preservative",8
"Aqua, Phenoxyethanol, Sorbic Acid","preservative",7
"Aqua, Glycerin, Sodium PCA, Panthenol, Madecassoside","safe",9
"Aqua, Allantoin, Niacinamide, Hyaluronic Acid","safe",9
"Aqua, Betaine, Trehalose, Green Tea Extract","safe",10
"Aqua, Aloe Extract, Panthenol, Sodium Hyaluronate","safe",9
"Aqua, Glycerin, Urea, Betaine","safe",8
"Aqua, Soy Extract, Centella Extract, Panthenol","safe",9
"Aqua, Tocopherol, Sodium PCA, Allantoin","safe",9
"Aqua, Panthenol, Marshmallow Root Extract, Glycerin","safe",10
"Aqua, Oat Extract, Betaine, Niacinamide","safe",9
"Aqua, Glycerin, Trehalose, Aloe Vera","safe",8
"Aqua, Dimethicone, Propanediol, Phenoxyethanol","neutral",6
"Aqua, Caprylic/Capric Triglyceride, Carbomer, Fragrance","neutral",5
"Aqua, PEG-6 Caprylic/Capric Glycerides, Dimethicone","neutral",7
"Aqua, Butylene Glycol, Dimethicone, Fragrance","neutral",6
"Aqua, Carbomer, Glycerin, PEG-40 Hydrogenated Castor Oil","neutral",5
"Aqua, Propylene Glycol, 1,2-Hexanediol, Dimethicone","neutral",6
"Aqua, Ethylhexylglycerin, Phenoxyethanol, Dimethicone","neutral",6
"Aqua, Glyceryl Acrylate, Carbomer, Dimethicone","neutral",7
"Aqua, Sorbitol, Dimethicone, Fragrance","neutral",5
"Aqua, Sodium Citrate, Butylene Glycol, Dimethicone","neutral",6
"Aqua, Isopropyl Myristate, Stearic Acid, Polysorbate 60","malassezia_trigger",1
"Aqua, Myristic Acid, Lauric Acid, Glyceryl Stearate","malassezia_trigger",0
"Aqua, Sorbitan Oleate, Oleic Acid, Polysorbate 80","malassezia_trigger",2
"Aqua, Polysorbate 20, Cetyl Alcohol, Stearyl Alcohol","malassezia_trigger",2
"Aqua, Oleic Acid, Sorbitan Stearate, Myristic Acid","malassezia_trigger",1
"Aqua, Glyceryl Oleate, Polysorbate 40, Stearic Acid","malassezia_trigger",2
"Aqua, Ceteareth-20, Oleyl Alcohol, Myristyl Myristate","malassezia_trigger",0
"Aqua, Isopropyl Palmitate, Polysorbate 65, Oleic Acid","malassezia_trigger",1
"Aqua, Cetyl Esters, Polysorbate 80, Stearyl Alcohol","malassezia_trigger",2
"Aqua, Myristyl Lactate, Oleyl Oleate, Stearic Acid","malassezia_trigger",1
"Aqua, Coconut Oil, Myristyl Myristate","comedogenic",3
"Aqua, Wheat Germ Oil, Glyceryl Stearate","comedogenic",4
"Aqua, Lanolin, Stearic Acid, Petrolatum","comedogenic",5
"Aqua, Olive Oil, Cetyl Palmitate","comedogenic",4
"Aqua, Cocoa Butter, Coconut Oil","comedogenic",3
"Aqua, Shea Butter, Cetearyl Alcohol, Almond Oil","comedogenic",4
"Aqua, Jojoba Oil, Glyceryl Stearate","comedogenic",3
"Aqua, Avocado Oil, Stearyl Alcohol","comedogenic",4
"Aqua, Myristyl Alcohol, Castor Oil","comedogenic",3
"Aqua, Caprylic/Capric Triglyceride, Cocoa Butter","comedogenic",5
"Aqua, Alcohol Denat, Menthol, Tea Tree Oil","irritant",3
"Aqua, Eucalyptus Oil, Camphor, Fragrance","irritant",4
"Aqua, Peppermint Oil, Linalool, Alcohol","irritant",3
"Aqua, Witch Hazel, Limonene, Alcohol","irritant",4
"Aqua, Benzyl Alcohol, Cinnamon Extract","irritant",3
"Aqua, Phenoxyethanol, Menthol, Camphor","irritant",4
"Aqua, Lavender Oil, Alcohol","irritant",3
"Aqua, Clove Oil, Menthol","irritant",4
"Aqua, Lemon Essential Oil, Alcohol Denat","irritant",3
"Aqua, Star Anise Oil, Phenoxyethanol","irritant",4
"Aqua, Fragrance, Limonene, Linalool","fragrance_heavy",5
"Aqua, Parfum, Citral, Hexyl Cinnamal","fragrance_heavy",6
"Aqua, Fragrance, Coumarin, Geraniol","fragrance_heavy",5
"Aqua, Parfum, Benzyl Benzoate, Citronellol","fragrance_heavy",6
"Aqua, Fragrance, Linalool, Alpha-Isomethyl Ionone","fragrance_heavy",5
"Aqua, Parfum, Eugenol, Limonene","fragrance_heavy",6
"Aqua, Fragrance, Hydroxycitronellal","fragrance_heavy",5
"Aqua, Parfum, Cinnamal, Coumarin","fragrance_heavy",6
"Aqua, Fragrance, Benzyl Salicylate","fragrance_heavy",5
"Aqua, Parfum, Citronellol, Amyl Cinnamal","fragrance_heavy",6
"Aqua, Lauric Acid, Palmitic Acid","fatty_acid",1
"Aqua, Linoleic Acid, Stearic Acid","fatty_acid",2
"Aqua, Caprylic Acid, Capric Acid","fatty_acid",3
"Aqua, Oleic Acid, Arachidic Acid","fatty_acid",2
"Aqua, Palmitic Acid, Myristic Acid","fatty_acid",1
"Aqua, Caprylic Acid, Stearic Acid","fatty_acid",3
"Aqua, Linolenic Acid, Palmitoleic Acid","fatty_acid",2
"Aqua, Lauric Acid, Capric Acid","fatty_acid",1
"Aqua, Oleic Acid, Caprylic Acid","fatty_acid",2
"Aqua, Palmitic Acid, Behenic Acid","fatty_acid",3
"Aqua, Petrolatum, Paraffin, Mineral Oil","emollient_heavy",4
"Aqua, Dimethicone, Squalane, Isododecane","emollient_heavy",6
"Aqua, Shea Butter, Glycerin, Caprylic/Capric Triglyceride","emollient_heavy",4
"Aqua, Cocoa Seed Butter, Jojoba Oil","emollient_heavy",3
"Aqua, Sunflower Seed Oil, Squalane","emollient_heavy",5
"Aqua, Olive Oil, Caprylic Triglyceride","emollient_heavy",4
"Aqua, Avocado Oil, Dimethicone","emollient_heavy",4
"Aqua, Cocoa Butter, Petrolatum","emollient_heavy",3
"Aqua, Jojoba Oil, Mineral Oil","emollient_heavy",4
"Aqua, Shea Butter, Squalene","emollient_heavy",6
"Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine","surfactant",4
"Aqua, Decyl Glucoside, Sodium Lauroyl Sarcosinate","surfactant",6
"Aqua, Sodium Cocoyl Isethionate, Coco-Betaine","surfactant",5
"Aqua, Sodium C14-16 Olefin Sulfonate, Lauryl Glucoside","surfactant",6
"Aqua, Sodium Myristoyl Glutamate, Disodium Laureth Sulfosuccinate","surfactant",7
"Aqua, Sodium Lauryl Sulfate, Cocamide DEA","surfactant",4
"Aqua, Lauryl Glucoside, Coco-Glucoside","surfactant",6
"Aqua, Sodium Lauroyl Oat Amino Acids, Decyl Glucoside","surfactant",7
"Aqua, Disodium Laureth Sulfosuccinate, Coco-Betaine","surfactant",5
"Aqua, Sodium Lauroyl Glycinate, Coco-Glucoside","surfactant",6
"Aqua, Phenoxyethanol, Ethylhexylglycerin","preservative",7
"Aqua, Sodium Benzoate, Potassium Sorbate","preservative",6
"Aqua, Benzyl Alcohol, Dehydroacetic Acid","preservative",5
"Aqua, Phenoxyethanol, Caprylyl Glycol","preservative",7
"Aqua, Chlorphenesin, Phenoxyethanol","preservative",6
"Aqua, Methylparaben, Propylparaben","preservative",8
"Aqua, Phenoxyethanol, Sorbic Acid","preservative",7
"Aqua, Diazolidinyl Urea, Potassium Sorbate","preservative",6
"Aqua, DMDM Hydantoin, Sodium Citrate","preservative",6
"Aqua, Imidazolidinyl Urea, Phenoxyethanol","preservative",7
"Aqua, Glycerin, Sodium PCA, Panthenol, Centella Extract","safe",9
"Aqua, Hyaluronic Acid, Betaine, Allantoin","safe",10
"Aqua, Niacinamide, Panthenol, Trehalose","safe",9
"Aqua, Glycerin, Green Tea Extract, Panthenol","safe",9
"Aqua, Madecassoside, Glycerin, Sodium PCA","safe",8
"Aqua, Panthenol, Aloe Vera, Sodium Hyaluronate","safe",10
"Aqua, Oat Extract, Betaine, Glycerin","safe",9
"Aqua, Centella Extract, Panthenol, Allantoin","safe",9
"Aqua, Urea, Glycerin, Sodium PCA","safe",8
"Aqua, Glycerin, Trehalose, Panthenol","safe",9
"Aqua, Hyaluronic Acid, Panthenol, Green Tea Extract","safe",10
"Aqua, Bisabolol, Panthenol, Glycerin","safe",8
"Aqua, Glycerin, Aloe Extract, Betaine","safe",9
"Aqua, Marshmallow Root Extract, Panthenol","safe",9
"Aqua, Allantoin, Sodium PCA, Glycerin","safe",9
"Aqua, Niacinamide, Panthenol, Sodium Hyaluronate","safe",10
"Aqua, Sodium Hyaluronate, Oat Extract","safe",9
"Aqua, Glycerin, Betaine, Panthenol","safe",9
"Aqua, Green Tea Extract, Centella Extract","safe",10
"Aqua, Sodium PCA, Trehalose, Glycerin","safe",8
"Aqua, Aloe Vera, Urea, Betaine","safe",9
"Aqua, Panthenol, Allantoin, Madecassoside","safe",9
"Aqua, Glycerin, Sodium Hyaluronate, Oat Extract","safe",10
"Aqua, Trehalose, Panthenol, Aloe Extract","safe",9
"Aqua, Centella Extract, Bisabolol, Glycerin","safe",9
"Aqua, Betaine, Allantoin, Hyaluronic Acid","safe",10
"Aqua, Green Tea Extract, Marshmallow Extract","safe",9
"Aqua, Panthenol, Oat Extract, Sodium PCA","safe",8
"Aqua, Glycerin, Urea, Aloe Extract","safe",9
"Aqua, Trehalose, Sodium PCA, Niacinamide","safe",10
"Aqua, Dimethicone, Propanediol, Carbomer","neutral",6
"Aqua, Caprylic/Capric Triglyceride, Fragrance","neutral",5
"Aqua, Dimethicone, PEG-40 Hydrogenated Castor Oil","neutral",6
"Aqua, Butylene Glycol, Dimethicone","neutral",7
"Aqua, Carbomer, Propylene Glycol, Fragrance","neutral",5
"Aqua, Isododecane, Dimethicone, Phenoxyethanol","neutral",6
"Aqua, Propanediol, Carbomer, Dimethicone","neutral",6
"Aqua, PEG-20 Methyl Glucose Sesquistearate","neutral",7
"Aqua, Glycerin, Dimethicone, Triethanolamine","neutral",6
"Aqua, Ethylhexylglycerin, Dimethicone","neutral",6
"Aqua, Butylene Glycol, Carbomer, Dimethicone","neutral",7
"Aqua, Propanediol, PEG-6 Caprylic/Capric Glycerides","neutral",6
"Aqua, Fragrance, Dimethicone","neutral",5
"Aqua, Carbomer, Sodium Citrate, Dimethicone","neutral",6
"Aqua, Phenoxyethanol, Propylene Glycol","neutral",5
"Aqua, Betaine, Dimethicone","neutral",7
"Aqua, Dimethicone, Sorbitol, Phenoxyethanol","neutral",6
"Aqua, Sodium Citrate, Dimethicone","neutral",7
"Aqua, PEG-7 Glyceryl Cocoate, Dimethicone","neutral",6
"Aqua, Carbomer, Propanediol, Dimethicone","neutral",6
"Aqua, Ethoxydiglycol, Dimethicone","neutral",7
"Aqua, PEG-12 Dimethicone, Fragrance","neutral",5
"Aqua, Pentylene Glycol, Dimethicone","neutral",7
"Aqua, PEG-8, Dimethicone","neutral",6
"Aqua, 1,2-Hexanediol, Dimethicone","neutral",6
"Aqua, Sorbitol, PEG-40 Hydrogenated Castor Oil","neutral",5
"Aqua, Fragrance, Carbomer, Dimethicone","neutral",5
"Aqua, Butylene Glycol, Dimethicone, PEG-40","neutral",6
"Aqua, Carbomer, Propylene Glycol","neutral",6
"Aqua, Phenoxyethanol, Dimethicone","neutral",7
"Aqua, Lauric Acid, Myristic Acid, Stearic Acid","malassezia_trigger",0
"Aqua, Polysorbate 20, Oleic Acid","malassezia_trigger",2
"Aqua, Isopropyl Myristate, Glyceryl Stearate","malassezia_trigger",1
"Aqua, Sorbitan Oleate, Oleic Acid","malassezia_trigger",1
"Aqua, Cetyl Alcohol, Stearyl Alcohol, Polysorbate 60","malassezia_trigger",2
"Aqua, Myristyl Myristate, Polysorbate 80","malassezia_trigger",1
"Aqua, Oleyl Oleate, Polysorbate 40","malassezia_trigger",2
"Aqua, Sorbitan Stearate, Oleyl Alcohol","malassezia_trigger",1
"Aqua, Stearic Acid, Polysorbate 65","malassezia_trigger",1
"Aqua, Cetearyl Alcohol, Oleic Acid","malassezia_trigger",2
"Aqua, Isopropyl Palmitate, Myristyl Myristate","malassezia_trigger",1
"Aqua, Polysorbate 80, Oleyl Alcohol","malassezia_trigger",2
"Aqua, Cetyl Esters, Stearyl Alcohol, Polysorbate 60","malassezia_trigger",1
"Aqua, Myristic Acid, Oleic Acid","malassezia_trigger",1
"Aqua, Myristyl Lactate, Oleyl Oleate","malassezia_trigger",1
"Aqua, Polysorbate 20, Glyceryl Oleate","malassezia_trigger",2
"Aqua, Sorbitan Oleate, Stearic Acid","malassezia_trigger",1
"Aqua, Polysorbate 40, Myristyl Myristate","malassezia_trigger",2
"Aqua, Cetyl Alcohol, Myristic Acid","malassezia_trigger",1
"Aqua, Oleic Acid, Polysorbate 60","malassezia_trigger",2
"Aqua, Isopropyl Isostearate, Oleyl Alcohol","malassezia_trigger",1
"Aqua, Stearyl Alcohol, Myristic Acid","malassezia_trigger",2
"Aqua, Polysorbate 65, Cetyl Alcohol","malassezia_trigger",1
"Aqua, Isopropyl Laurate, Glyceryl Stearate","malassezia_trigger",2
"Aqua, Sorbitan Stearate, Oleic Acid","malassezia_trigger",1
"Aqua, Oleyl Alcohol, Stearic Acid","malassezia_trigger",1
"Aqua, Myristyl Myristate, Polysorbate 60","malassezia_trigger",2
"Aqua, Cetyl Alcohol, Oleyl Oleate","malassezia_trigger",1
"Aqua, Myristic Acid, Sorbitan Oleate","malassezia_trigger",1
"Aqua, Oleic Acid, Polysorbate 80","malassezia_trigger",2
"Aqua, Cetearyl Alcohol, Petrolatum","comedogenic",4
"Aqua, Isopropyl Palmitate, Myristyl Lactate","comedogenic",3
"Aqua, Coconut Oil, Stearic Acid","comedogenic",3
"Aqua, Wheat Germ Oil, Cocoa Butter","comedogenic",4
"Aqua, Glyceryl Oleate, Lanolin","comedogenic",4
"Aqua, Almond Oil, Cetyl Alcohol","comedogenic",5
"Aqua, Shea Butter, Cetearyl Alcohol","comedogenic",4
"Aqua, Avocado Oil, Glyceryl Stearate","comedogenic",4
"Aqua, Olive Oil, Myristyl Myristate","comedogenic",3
"Aqua, Castor Oil, Oleyl Alcohol","comedogenic",4
"Aqua, Mango Butter, Avocado Oil","comedogenic",4
"Aqua, Vegetable Oil, Cetyl Palmitate","comedogenic",3
"Aqua, Lanolin Alcohol, Stearic Acid","comedogenic",5
"Aqua, Cocoa Butter, Mineral Oil","comedogenic",4
"Aqua, Kernel Oil, Stearyl Alcohol","comedogenic",3
"Aqua, Rosehip Oil, Cetearyl Alcohol","comedogenic",4
"Aqua, Jojoba Oil, Glyceryl Stearate","comedogenic",3
"Aqua, Palm Oil, Cetyl Esters","comedogenic",4
"Aqua, Castor Oil, Cocoa Seed Butter","comedogenic",4
"Aqua, Safflower Oil, Cetyl Alcohol","comedogenic",5
"Aqua, Macadamia Oil, Stearic Acid","comedogenic",4
"Aqua, Almond Oil, Cetearyl Alcohol","comedogenic",4
"Aqua, Shea Oil, Stearyl Alcohol","comedogenic",3
"Aqua, Wheat Germ Oil, Lanolin","comedogenic",5
"Aqua, Argan Oil, Cetyl Palmitate","comedogenic",4
"Aqua, Coconut Oil, Glyceryl Stearate","comedogenic",3
"Aqua, Jojoba Oil, Myristyl Myristate","comedogenic",4
"Aqua, Olive Oil, Lanolin Alcohol","comedogenic",4
"Aqua, Almond Oil, Stearic Acid","comedogenic",3
"Aqua, Avocado Oil, Cetyl Alcohol","comedogenic",4
"Aqua, Alcohol Denat, Menthol","irritant",3
"Aqua, Linalool, Limonene, Fragrance","irritant",4
"Aqua, Menthol, Camphor, Alcohol","irritant",2
"Aqua, Eucalyptus Oil, Fragrance","irritant",4
"Aqua, Witch Hazel, Alcohol, Fragrance","irritant",3
